13:49:29.893 DB not initialized, please visit setup page - http://[your-server-host]:8080 to see instructions on how to initialize Trilium.
13:49:29.895 DB size: 4 KB
13:49:30.508 {
  "appVersion": "0.61.14",
  "dbVersion": 227,
  "syncVersion": 31,
  "buildDate": "2023-11-16T00:21:34+01:00",
  "buildRevision": "0afc41060a935a46642a082128bea5002c2410e1",
  "dataDirectory": "/home/node/trilium-data",
  "clipperProtocolVersion": "1.0",
  "utcDateTime": "2023-11-30T13:49:29.683Z"
}
13:49:30.508 CPU model: Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz, logical cores: 12 freq: 3870 Mhz
13:49:30.508 Trusted reverse proxy: false
13:49:30.509 App HTTP server starting up at port 8080
13:49:30.513 Listening on port 8080
13:49:59.283 200 GET /api/health-check with 15 bytes took 7ms
13:50:29.441 200 GET /api/health-check with 15 bytes took 1ms
13:50:59.588 200 GET /api/health-check with 15 bytes took 0ms
13:51:29.755 200 GET /api/health-check with 15 bytes took 0ms
13:51:59.879 200 GET /api/health-check with 15 bytes took 1ms
13:52:30.041 200 GET /api/health-check with 15 bytes took 1ms
13:53:00.200 200 GET /api/health-check with 15 bytes took 1ms
13:53:30.343 200 GET /api/health-check with 15 bytes took 1ms
13:54:00.491 200 GET /api/health-check with 15 bytes took 1ms
13:54:30.643 200 GET /api/health-check with 15 bytes took 1ms
13:55:00.791 200 GET /api/health-check with 15 bytes took 1ms
13:55:30.914 200 GET /api/health-check with 15 bytes took 0ms
13:56:01.069 200 GET /api/health-check with 15 bytes took 1ms
13:56:31.209 200 GET /api/health-check with 15 bytes took 0ms
13:57:01.369 200 GET /api/health-check with 15 bytes took 0ms
13:57:31.504 200 GET /api/health-check with 15 bytes took 0ms
13:58:01.650 200 GET /api/health-check with 15 bytes took 0ms
13:58:31.791 200 GET /api/health-check with 15 bytes took 0ms
13:59:01.932 200 GET /api/health-check with 15 bytes took 0ms
13:59:32.047 200 GET /api/health-check with 15 bytes took 1ms
14:00:02.193 200 GET /api/health-check with 15 bytes took 1ms
14:00:32.335 200 GET /api/health-check with 15 bytes took 0ms
14:01:02.464 200 GET /api/health-check with 15 bytes took 1ms
14:01:32.600 200 GET /api/health-check with 15 bytes took 1ms
14:02:02.722 200 GET /api/health-check with 15 bytes took 0ms
14:02:33.066 200 GET /api/health-check with 15 bytes took 0ms
14:03:03.661 200 GET /api/health-check with 15 bytes took 1ms
14:03:34.154 200 GET /api/health-check with 15 bytes took 1ms
14:04:04.692 200 GET /api/health-check with 15 bytes took 1ms
14:04:34.843 200 GET /api/health-check with 15 bytes took 1ms
14:05:04.988 200 GET /api/health-check with 15 bytes took 1ms
14:05:35.125 200 GET /api/health-check with 15 bytes took 1ms
14:06:05.261 200 GET /api/health-check with 15 bytes took 0ms
14:06:35.385 200 GET /api/health-check with 15 bytes took 1ms
14:07:05.516 200 GET /api/health-check with 15 bytes took 1ms
14:07:35.665 200 GET /api/health-check with 15 bytes took 0ms
14:08:05.831 200 GET /api/health-check with 15 bytes took 0ms
14:08:35.981 200 GET /api/health-check with 15 bytes took 0ms
14:09:06.109 200 GET /api/health-check with 15 bytes took 0ms
14:09:36.231 200 GET /api/health-check with 15 bytes took 0ms
14:10:06.362 200 GET /api/health-check with 15 bytes took 1ms
14:10:36.488 200 GET /api/health-check with 15 bytes took 1ms
14:11:06.630 200 GET /api/health-check with 15 bytes took 0ms
14:11:36.759 200 GET /api/health-check with 15 bytes took 0ms
14:12:06.902 200 GET /api/health-check with 15 bytes took 0ms
14:12:37.043 200 GET /api/health-check with 15 bytes took 1ms
14:13:07.170 200 GET /api/health-check with 15 bytes took 0ms
14:13:37.300 200 GET /api/health-check with 15 bytes took 1ms
14:14:07.432 200 GET /api/health-check with 15 bytes took 0ms
14:14:37.566 200 GET /api/health-check with 15 bytes took 0ms
14:15:07.697 200 GET /api/health-check with 15 bytes took 1ms
14:15:37.828 200 GET /api/health-check with 15 bytes took 0ms
14:16:07.975 200 GET /api/health-check with 15 bytes took 0ms
14:16:38.130 200 GET /api/health-check with 15 bytes took 1ms
14:17:08.266 200 GET /api/health-check with 15 bytes took 0ms
14:17:38.408 200 GET /api/health-check with 15 bytes took 0ms
14:18:08.531 200 GET /api/health-check with 15 bytes took 0ms
14:18:38.673 200 GET /api/health-check with 15 bytes took 0ms
14:19:08.816 200 GET /api/health-check with 15 bytes took 1ms
14:19:38.968 200 GET /api/health-check with 15 bytes took 1ms
14:20:09.106 200 GET /api/health-check with 15 bytes took 0ms
14:20:39.221 200 GET /api/health-check with 15 bytes took 0ms
14:21:09.355 200 GET /api/health-check with 15 bytes took 1ms
14:21:39.490 200 GET /api/health-check with 15 bytes took 0ms
14:22:09.601 200 GET /api/health-check with 15 bytes took 0ms
14:22:39.737 200 GET /api/health-check with 15 bytes took 1ms
14:23:09.866 200 GET /api/health-check with 15 bytes took 0ms
14:23:39.990 200 GET /api/health-check with 15 bytes took 1ms
14:24:10.123 200 GET /api/health-check with 15 bytes took 0ms
14:24:40.259 200 GET /api/health-check with 15 bytes took 0ms
14:25:10.374 200 GET /api/health-check with 15 bytes took 0ms
14:25:40.503 200 GET /api/health-check with 15 bytes took 0ms
14:26:10.630 200 GET /api/health-check with 15 bytes took 1ms
14:26:40.776 200 GET /api/health-check with 15 bytes took 1ms
14:27:10.911 200 GET /api/health-check with 15 bytes took 1ms
14:27:41.039 200 GET /api/health-check with 15 bytes took 0ms
14:28:11.170 200 GET /api/health-check with 15 bytes took 1ms
14:28:41.319 200 GET /api/health-check with 15 bytes took 0ms
14:29:11.446 200 GET /api/health-check with 15 bytes took 1ms
14:29:41.574 200 GET /api/health-check with 15 bytes took 1ms
14:30:11.718 200 GET /api/health-check with 15 bytes took 1ms
14:30:41.828 200 GET /api/health-check with 15 bytes took 0ms
14:31:11.958 200 GET /api/health-check with 15 bytes took 1ms
14:31:42.080 200 GET /api/health-check with 15 bytes took 0ms
14:32:12.214 200 GET /api/health-check with 15 bytes took 1ms
14:32:42.343 200 GET /api/health-check with 15 bytes took 1ms
14:33:12.461 200 GET /api/health-check with 15 bytes took 1ms
14:33:42.579 200 GET /api/health-check with 15 bytes took 0ms
14:34:12.725 200 GET /api/health-check with 15 bytes took 0ms
14:34:42.863 200 GET /api/health-check with 15 bytes took 1ms
14:35:13.000 200 GET /api/health-check with 15 bytes took 0ms
14:35:43.119 200 GET /api/health-check with 15 bytes took 0ms
14:36:13.269 200 GET /api/health-check with 15 bytes took 0ms
14:36:43.412 200 GET /api/health-check with 15 bytes took 0ms
14:37:13.537 200 GET /api/health-check with 15 bytes took 1ms
14:37:43.664 200 GET /api/health-check with 15 bytes took 0ms
14:38:13.793 200 GET /api/health-check with 15 bytes took 1ms
14:38:43.935 200 GET /api/health-check with 15 bytes took 0ms
14:39:14.049 200 GET /api/health-check with 15 bytes took 1ms
14:39:44.176 200 GET /api/health-check with 15 bytes took 0ms
14:40:14.318 200 GET /api/health-check with 15 bytes took 0ms
14:40:44.448 200 GET /api/health-check with 15 bytes took 0ms
14:41:14.587 200 GET /api/health-check with 15 bytes took 0ms
14:41:44.732 200 GET /api/health-check with 15 bytes took 1ms
14:42:14.844 200 GET /api/health-check with 15 bytes took 1ms
14:42:44.974 200 GET /api/health-check with 15 bytes took 0ms
14:43:15.114 200 GET /api/health-check with 15 bytes took 0ms
14:43:45.260 200 GET /api/health-check with 15 bytes took 1ms
14:44:15.407 200 GET /api/health-check with 15 bytes took 1ms
14:44:45.543 200 GET /api/health-check with 15 bytes took 1ms
14:45:15.686 200 GET /api/health-check with 15 bytes took 0ms
14:45:45.831 200 GET /api/health-check with 15 bytes took 1ms
14:46:15.996 200 GET /api/health-check with 15 bytes took 1ms
14:46:46.130 200 GET /api/health-check with 15 bytes took 0ms
14:47:16.281 200 GET /api/health-check with 15 bytes took 1ms
14:47:46.426 200 GET /api/health-check with 15 bytes took 0ms
14:48:16.572 200 GET /api/health-check with 15 bytes took 1ms
14:48:46.702 200 GET /api/health-check with 15 bytes took 0ms
14:49:16.858 200 GET /api/health-check with 15 bytes took 1ms
14:49:46.987 200 GET /api/health-check with 15 bytes took 1ms
14:50:17.115 200 GET /api/health-check with 15 bytes took 0ms
14:50:47.247 200 GET /api/health-check with 15 bytes took 1ms
14:51:17.382 200 GET /api/health-check with 15 bytes took 1ms
14:51:47.516 200 GET /api/health-check with 15 bytes took 0ms
14:52:17.645 200 GET /api/health-check with 15 bytes took 1ms
14:52:47.779 200 GET /api/health-check with 15 bytes took 0ms
14:53:17.921 200 GET /api/health-check with 15 bytes took 0ms
14:53:48.062 200 GET /api/health-check with 15 bytes took 0ms
14:54:18.223 200 GET /api/health-check with 15 bytes took 1ms
14:54:48.379 200 GET /api/health-check with 15 bytes took 0ms
14:55:18.525 200 GET /api/health-check with 15 bytes took 1ms
14:55:22.283 Error: Router not found for request /api?timeout=32s
14:55:22.293 Error: Router not found for request /apis?timeout=32s
14:55:22.296 Error: Router not found for request /api?timeout=32s
14:55:22.299 Error: Router not found for request /apis?timeout=32s
14:55:22.302 Error: Router not found for request /api?timeout=32s
14:55:22.306 Error: Router not found for request /apis?timeout=32s
14:55:22.309 Error: Router not found for request /api?timeout=32s
14:55:22.315 Error: Router not found for request /apis?timeout=32s
14:55:22.317 Error: Router not found for request /api?timeout=32s
14:55:22.320 Error: Router not found for request /apis?timeout=32s
14:55:24.400 Error: Router not found for request /api?timeout=32s
14:55:24.401 Error: Router not found for request /apis?timeout=32s
14:55:24.403 Error: Router not found for request /api?timeout=32s
14:55:24.411 Error: Router not found for request /apis?timeout=32s
14:55:24.413 Error: Router not found for request /api?timeout=32s
14:55:24.414 Error: Router not found for request /apis?timeout=32s
14:55:24.416 Error: Router not found for request /api?timeout=32s
14:55:24.417 Error: Router not found for request /apis?timeout=32s
14:55:24.419 Error: Router not found for request /api?timeout=32s
